id,revenue
3001,480898.1202217354
3002,99121.64879832484
3003,1196389.908456043
3004,11153024.04580331
3005,5196585.206838821
3006,1688981.05009882
3007,437054.08536008943
3008,23831339.795569595
3009,24608915.123154216
3010,627267941.9633965
3011,2267983.4804119817
3012,368376.651653132
3013,43646807.741898485
3014,5790027.202670135
3015,17495420.59015704
3016,649742.7977343485
3017,23149632.885550603
3018,82668543.12656708
3019,2068960.7030672927
3020,26060615240.93956
3021,29396509.344292503
3022,14536932.337363446
3023,625651.8837734209
3024,13473020.875312263
3025,406293.1834009819
3026,67503492.95974639
3027,9333577.305350801
3028,38627188.1946002
3029,2078874.062276015
3030,26802991.14584041
3031,7489256.531533747
3032,7602011.80682438
3033,1710955.1634416103
3034,2306841.1032793405
3035,536721.5927029502
3036,9224679.52340879
3037,14088911.648928098
3038,9985593.394355383
3039,3988488.1791479914
3040,1701670.974911335
3041,6728816.5178486705
3042,987781.4254469728
3043,3117263.89972493
3044,2606939.1870907657
3045,1061265986.222512
3046,1080391.5817583431
3047,120191.66312577123
3048,23403281.345591277
3049,1631274.5322593495
3050,82122193.88061509
3051,1267928.5764131087
3052,8953614.380512718
3053,621458.1325111319
3054,834761.0146708451
3055,33237698.687625676
3056,322644.24506413087
3057,44142690.689551845
3058,1057522688.4566183
3059,549557.9086994233
3060,50071260.90361454
3061,43031849.50075303
3062,2196642.210812602
3063,24432529.566949412
3064,20942473.763159048
3065,12965695.870255679
3066,17338480.21472413
3067,345761.4136737297
3068,36987718.041831926
3069,261148959.517001
3070,765046.2849626156
3071,9692666.36012518
3072,10707305568.938984
3073,612626.0912460438
3074,902079.8310388072
3075,25977831.951665636
3076,57250207.45055338
3077,4249336.703721403
3078,17170534.07208814
3079,17490043.015079197
3080,28083843.3544694
3081,120410425.25048867
3082,2260745.4143653186
3083,6497749.125034149
3084,720196.2704391913
3085,5404278.8383909315
3086,40773557.203519166
3087,501527.1094308778
3088,883614.2484555638
3089,1631600.1948480296
3090,17792474.78023387
3091,22952132.29599838
3092,1260027.8753875108
3093,111509195.8176698
3094,48793665.256377906
3095,27091457.09546175
3096,1513380.5551409677
3097,9415825343.143187
3098,18962191.002498176
3099,35544069.398387045
